iter	MultiLogloss
0	0.686049584
1	0.6791232848
2	0.6721883028
3	0.6655946638
4	0.6591303242
5	0.6526938873
6	0.6464907388
7	0.6403899669
8	0.6331098974
9	0.6273507707
10	0.6216893062
11	0.6162111158
12	0.6108042634
13	0.6055328938
14	0.6001432723
15	0.5949947921
16	0.5899752998
17	0.5851510373
18	0.5804644367
19	0.5745517235
20	0.5698276383
21	0.5654732343
22	0.5611767127
23	0.5568349056
24	0.5527678875
25	0.5487901168
26	0.5449026536
27	0.5411080789
28	0.5373693128
29	0.5337288675
30	0.5301824447
31	0.5263834326
32	0.5229984896
33	0.5192488013
34	0.5160197785
35	0.5128806819
36	0.5097955781
37	0.5056267227
38	0.5015074684
39	0.49864586
40	0.4952758709
41	0.4925291539
42	0.4898308992
43	0.4871825308
44	0.4846348028
45	0.4821445573
46	0.4786407
47	0.4761828864
48	0.4729381431
49	0.4706629214
50	0.4682679772
51	0.4661115621
52	0.4636006017
53	0.460600175
54	0.458594796
55	0.4557039777
56	0.4528337162
57	0.4508384468
58	0.448133195
59	0.4463610433
60	0.4437731991
61	0.4420895261
62	0.4403443346
63	0.438529209
64	0.4361230721
65	0.4334185005
66	0.4319207311
67	0.4304481617
68	0.4281388938
69	0.4258908286
70	0.4237845657
71	0.4224584197
72	0.4210923807
73	0.4191025029
74	0.4171636818
75	0.4159582413
76	0.4147690915
77	0.4125597969
78	0.4106399212
79	0.4093132056
80	0.4082418836
81	0.4070949996
82	0.4053579956
83	0.4036074984
84	0.4026321814
85	0.4016700908
86	0.4001276208
87	0.3991985772
88	0.39771528
89	0.3962433551
90	0.3947511135
91	0.393847035
92	0.3930059604
93	0.3915780714
94	0.3907410201
95	0.3896305162
96	0.3881835778
97	0.3873754702
98	0.3861366006
99	0.3846617646
100	0.3834253585
101	0.3821510316
102	0.3807959264
103	0.3795462308
104	0.3784843801
105	0.3773357428
106	0.3759184383
107	0.374870415
108	0.3741384585
109	0.372795567
110	0.3722688738
111	0.3709351774
112	0.3703505442
113	0.3698527454
114	0.3689054447
115	0.3679979765
116	0.3670496232
117	0.3664994272
118	0.3656265469
119	0.3648571201
120	0.3638312441
121	0.3632590581
122	0.3623886683
123	0.3619985253
124	0.3616163589
125	0.3611358202
126	0.3604539936
127	0.3600920407
128	0.359247596
129	0.3589042333
130	0.3585678455
131	0.3577469733
132	0.3570233361
133	0.3564965931
134	0.355803071
135	0.3550636364
136	0.3547332444
137	0.3540873387
138	0.3533998188
139	0.352937754
140	0.352376465
141	0.3521147655
142	0.3518467536
143	0.3515011243
144	0.351237833
145	0.3506466247
146	0.3500329545
147	0.3495993574
148	0.3493472988
149	0.3488932466
150	0.3481612612
151	0.3475248028
152	0.3468589883
153	0.3464497584
154	0.3462268651
155	0.3457047592
156	0.3455156823
157	0.3453303405
158	0.3448976637
159	0.344387291
160	0.3438831162
161	0.3436145837
162	0.3434221106
163	0.343012776
164	0.3423904216
165	0.3418995865
166	0.3417048572
167	0.3410375077
168	0.3407057675
169	0.3399436639
170	0.3393444874
171	0.3388381262
172	0.3385823227
173	0.338409843
174	0.3382826385
175	0.3379459164
176	0.3373436494
177	0.3367647176
178	0.3364936457
179	0.336344959
180	0.3359824849
181	0.3354659664
182	0.3348680033
183	0.3344659715
184	0.3341723019
185	0.3334271544
186	0.3328677553
187	0.3327634553
188	0.3325234042
189	0.3323231053
190	0.3319254758
191	0.3316181831
192	0.331215266
193	0.3311302237
194	0.330708741
195	0.3303743732
196	0.3301248875
197	0.3299848441
198	0.3298430175
199	0.3294416326
200	0.329113389
201	0.3288618275
202	0.3286587079
203	0.3285920886
204	0.3285267371
205	0.3283350587
206	0.3277945154
207	0.3277333358
208	0.327221954
209	0.3269655649
210	0.3264265998
211	0.3260148336
212	0.3259604613
213	0.325907118
214	0.3255740205
215	0.3251150097
216	0.3245791823
217	0.3243746706
218	0.3240177325
219	0.3236191508
220	0.3231726243
221	0.3227536412
222	0.3226024061
223	0.322249902
224	0.3218229403
225	0.3214138234
226	0.3210281443
227	0.3207441014
228	0.3205178789
229	0.3200679921
230	0.319849427
231	0.3195460246
232	0.3193172491
233	0.3191036354
234	0.3190715449
235	0.319040054
236	0.318526067
237	0.3184560308
238	0.3182241155
239	0.3178986388
240	0.3177166114
241	0.3174648193
242	0.3172120728
243	0.3168941673
244	0.3164738801
245	0.3163322772
246	0.3163079597
247	0.3159973316
248	0.3158011282
249	0.3155447708
250	0.3152233366
251	0.3149677168
252	0.3146330626
253	0.3141645955
254	0.3138858534
255	0.3137131939
256	0.3135634888
