iter	Passed	Remaining
0	14	14067
1	30	15050
2	39	12962
3	53	13281
4	67	13460
5	84	13978
6	98	13995
7	113	14033
8	128	14128
9	143	14176
10	157	14184
11	172	14172
12	187	14212
13	201	14211
14	216	14220
15	232	14275
16	246	14248
17	260	14222
18	275	14212
19	290	14215
20	305	14253
21	320	14243
22	335	14247
23	350	14242
24	365	14272
25	381	14278
26	395	14252
27	410	14242
28	425	14231
29	441	14272
30	455	14247
31	470	14240
32	485	14235
33	497	14135
34	512	14120
35	526	14108
36	541	14099
37	557	14103
38	571	14082
39	587	14092
40	603	14108
41	614	14014
42	621	13836
43	630	13700
44	637	13538
45	645	13388
46	653	13243
47	660	13101
48	667	12960
49	673	12792
50	681	12680
51	689	12578
52	694	12411
53	701	12292
54	709	12185
55	716	12077
56	723	11977
57	731	11880
58	739	11786
59	746	11699
60	751	11568
61	758	11482
62	767	11411
63	774	11328
64	782	11252
65	790	11183
66	797	11104
67	804	11027
68	811	10952
69	819	10882
70	826	10812
71	833	10745
72	841	10681
73	848	10617
74	855	10555
75	863	10498
76	871	10441
77	878	10382
78	885	10323
79	892	10269
80	900	10213
81	907	10161
82	915	10111
83	922	10063
84	930	10012
85	937	9961
86	944	9910
87	951	9863
88	958	9813
89	965	9765
90	973	9720
91	980	9680
92	984	9604
93	992	9565
94	999	9523
95	1006	9482
96	1014	9445
97	1022	9406
98	1029	9366
99	1036	9328
100	1043	9292
101	1052	9270
102	1056	9202
103	1063	9164
104	1071	9135
105	1079	9103
106	1087	9072
107	1094	9039
108	1101	9004
109	1108	8970
110	1115	8937
111	1123	8907
112	1130	8874
113	1137	8842
114	1145	8812
115	1152	8781
116	1159	8752
117	1167	8722
118	1174	8695
119	1182	8673
120	1190	8645
121	1206	8680
122	1215	8665
123	1222	8636
124	1229	8606
125	1236	8580
126	1244	8554
127	1251	8527
128	1259	8501
129	1266	8475
130	1271	8431
131	1278	8410
132	1286	8388
133	1294	8363
134	1301	8338
135	1309	8317
136	1316	8290
137	1323	8267
138	1330	8244
139	1335	8205
140	1343	8182
141	1351	8165
142	1358	8144
143	1366	8123
144	1374	8101
145	1382	8084
146	1389	8061
147	1396	8039
148	1403	8017
149	1411	7997
150	1418	7976
151	1425	7954
152	1433	7935
153	1440	7913
154	1447	7893
155	1455	7874
156	1462	7854
157	1469	7833
158	1477	7812
159	1484	7793
160	1491	7773
161	1499	7756
162	1506	7737
163	1512	7710
164	1519	7692
165	1527	7675
166	1534	7656
167	1542	7640
168	1550	7623
169	1558	7608
170	1566	7592
171	1574	7578
172	1582	7562
173	1590	7550
174	1597	7532
175	1605	7516
176	1612	7498
177	1620	7481
178	1627	7466
179	1635	7448
180	1643	7437
181	1650	7419
182	1658	7402
183	1665	7386
184	1672	7369
185	1680	7354
186	1688	7339
187	1695	7322
188	1702	7307
189	1710	7290
190	1717	7273
191	1724	7256
192	1731	7240
193	1738	7224
194	1746	7208
195	1753	7193
196	1760	7177
197	1768	7163
198	1773	7137
199	1780	7121
200	1788	7109
201	1795	7094
202	1804	7085
203	1812	7072
204	1820	7060
205	1827	7045
206	1835	7031
207	1842	7016
208	1849	7001
209	1857	6986
210	1864	6971
211	1871	6957
212	1879	6943
213	1886	6928
214	1893	6913
215	1901	6900
216	1908	6886
217	1915	6872
218	1923	6858
219	1930	6843
220	1937	6829
221	1944	6815
222	1952	6801
223	1959	6788
224	1967	6775
225	1974	6761
226	1981	6748
227	1988	6734
228	1996	6720
229	2003	6705
230	2010	6692
231	2017	6678
232	2024	6664
233	2032	6651
234	2039	6638
235	2046	6626
236	2054	6612
237	2061	6600
238	2068	6587
239	2075	6573
240	2083	6560
241	2090	6547
242	2097	6534
243	2104	6521
244	2111	6508
245	2119	6494
246	2127	6485
247	2134	6472
248	2142	6461
249	2150	6450
250	2157	6437
251	2164	6424
252	2171	6411
253	2179	6402
254	2187	6389
255	2194	6376
256	2202	6367
257	2209	6355
258	2217	6344
259	2225	6332
260	2232	6319
261	2239	6307
262	2246	6295
263	2253	6283
264	2261	6271
265	2268	6258
266	2275	6246
267	2283	6235
268	2290	6223
269	2297	6211
270	2305	6200
271	2312	6189
272	2319	6177
273	2327	6167
274	2334	6155
275	2342	6143
276	2349	6132
277	2357	6122
278	2364	6110
279	2371	6098
280	2378	6087
281	2386	6077
282	2394	6065
283	2401	6054
284	2409	6044
285	2417	6034
286	2424	6023
287	2431	6011
288	2439	6001
289	2447	5991
290	2454	5980
291	2461	5969
292	2469	5958
293	2476	5946
